dataset,window_size,overlap_ratio,metric_name,macro_f1,balanced_accuracy,accuracy,n_windows,n_classes,computation_time
opportunity,64,0.5,Jaccard,0.513235294117647,0.511996336996337,0.5294117647058824,51,4,65.94166278839111
opportunity,64,0.5,Dice,0.4554369640576537,0.4645604395604395,0.47058823529411764,51,4,65.94166278839111
opportunity,64,0.5,OverlapCoefficient,0.4794764059469942,0.49072039072039075,0.5098039215686274,51,4,65.94166278839111
opportunity,64,0.5,Cosine,0.5305779569892473,0.5286630036630037,0.5490196078431373,51,4,65.94166278839111
opportunity,64,0.5,Pearson,0.5305779569892473,0.5286630036630037,0.5490196078431373,51,4,65.94166278839111
