length,Mean_Speedup,Std_Speedup,Min_Speedup,Max_Speedup,Significant_Cases,Avg_KL_Div,Total_Cases
100,3.874,0.312,3.572,4.297,4,0.093,4
1000,10.378,1.334,9.046,11.863,4,0.123,4
10000,17.494,2.161,15.467,19.528,4,0.104,4
100000,18.173,2.262,15.413,20.482,4,0.098,4
