dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_normal,normal,10,10,0.1,0.1,0,9.083747863769531e-05,0.0007722377777099609,0.015625,0.109375,0.0025468192379515127,0.0048239853773381644
synthetic_normal,normal,10,10,0.1,0.1,1,0.0001308917999267578,0.0004630088806152344,0.0,0.0,0.002095374028611146,0.003958598487459913
synthetic_normal,normal,10,10,0.1,0.1,2,0.00018978118896484375,0.0006997585296630859,0.0,-5.984375,0.002425777991191339,0.0045642842834007725
synthetic_normal,normal,10,10,0.3,0.3,0,8.821487426757812e-05,0.0002701282501220703,0.015625,0.015625,0.0012816575920222444,0.0024314357741917255
synthetic_normal,normal,10,10,0.3,0.3,1,9.799003601074219e-05,0.0002601146697998047,0.21875,0.015625,0.0016323745765787659,0.0030846935324520108
synthetic_normal,normal,10,10,0.3,0.3,2,0.00021409988403320312,0.0001780986785888672,0.015625,0.0,0.0021644134260131375,0.0041212092125680775
synthetic_normal,normal,10,10,0.5,0.5,0,0.00010609626770019531,0.00020694732666015625,0.0,0.015625,0.0010524345574940948,0.002012533824609363
synthetic_normal,normal,10,10,0.5,0.5,1,0.00022411346435546875,0.00027489662170410156,0.0,0.0,0.0016818157564311054,0.003172037067044299
synthetic_normal,normal,10,10,0.5,0.5,2,6.389617919921875e-05,0.0001780986785888672,0.0,0.0,0.001499447197989084,0.002837234176285839
synthetic_normal,normal,10,10,r0.1,1.3403574869053536,0,0.00011301040649414062,0.00017213821411132812,0.03125,0.0,0.0010651812519715032,0.0020271636527919613
synthetic_normal,normal,10,10,r0.1,1.746246530082595,1,0.0003399848937988281,0.0002930164337158203,0.078125,0.0625,0.0009116732229721803,0.00174970216831357
synthetic_normal,normal,10,10,r0.1,1.652065324010212,2,8.821487426757812e-05,0.0002181529998779297,0.09375,0.0,0.0008460430240726175,0.001624824552437788
synthetic_normal,normal,10,10,r0.3,4.02107246071606,0,6.4849853515625e-05,0.00015592575073242188,0.0,0.0,0.000481914622803112,0.0009885177307787075
synthetic_normal,normal,10,10,r0.3,5.238739590247784,1,0.0012450218200683594,0.00029015541076660156,0.21875,0.015625,0.0004426785136583365,0.0009048714689826086
synthetic_normal,normal,10,10,r0.3,4.956195972030636,2,9.012222290039062e-05,0.00018405914306640625,0.109375,0.0,0.00042029536166559005,0.0008591282864164607
synthetic_normal,normal,100,100,0.1,0.1,0,0.0007181167602539062,0.0005600452423095703,0.40625,0.09375,6.450370114172845e-06,1.2851731097720652e-05
synthetic_normal,normal,100,100,0.1,0.1,1,0.0009768009185791016,0.0004363059997558594,1.578125,0.0,7.5448086750177025e-06,1.5030821947934505e-05
synthetic_normal,normal,100,100,0.1,0.1,2,0.0004000663757324219,0.0003600120544433594,0.0,0.0,7.288302856657103e-06,1.4511780171435205e-05
synthetic_normal,normal,100,100,0.3,0.3,0,0.0003960132598876953,0.00037407875061035156,0.0,0.0,2.9019310729923797e-06,5.7830425264573705e-06
synthetic_normal,normal,100,100,0.3,0.3,1,0.00041294097900390625,0.0004901885986328125,0.03125,0.0,3.0569070204546805e-06,6.095179593111145e-06
synthetic_normal,normal,100,100,0.3,0.3,2,0.0003829002380371094,0.0004830360412597656,0.0,0.0,3.632316946570543e-06,7.24176781949249e-06
synthetic_normal,normal,100,100,0.5,0.5,0,0.0008080005645751953,0.0005071163177490234,0.078125,0.0,2.178761679711821e-06,4.341096440949437e-06
synthetic_normal,normal,100,100,0.5,0.5,1,0.00042319297790527344,0.0005049705505371094,0.171875,0.0,1.51077470908973e-06,3.0157683470525593e-06
synthetic_normal,normal,100,100,0.5,0.5,2,0.0005400180816650391,0.0004010200500488281,1.53125,0.0,2.7869695958268487e-06,5.556505525007828e-06
synthetic_normal,normal,100,100,r0.1,2.405100364949862,0,0.0003390312194824219,0.0004189014434814453,0.0,0.0,1.6205435905248622e-06,3.2338777045291085e-06
synthetic_normal,normal,100,100,r0.1,2.2254055135430897,1,0.0004947185516357422,0.0005099773406982422,1.546875,0.0,1.5632696109849846e-06,3.1103317831639245e-06
synthetic_normal,normal,100,100,r0.1,2.541493608287516,2,0.0003440380096435547,0.0004317760467529297,0.0,0.0,1.6297421905047272e-06,3.252144619307133e-06
synthetic_normal,normal,100,100,r0.3,7.215301094849585,0,0.0003457069396972656,0.0004458427429199219,0.0,0.0,9.967729223013403e-06,2.1994873029728818e-05
synthetic_normal,normal,100,100,r0.3,6.676216540629269,1,0.0006270408630371094,0.0005018711090087891,2.28125,0.015625,6.672113252007971e-06,1.5936009014612988e-05
