dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_normal,normal,100,100,0.1,0.1,0,0.1221928596496582,0.003198862075805664,24.6875,0.390625,1.2979626906710841e-05,2.0249298755734204e-05
synthetic_normal,normal,100,100,0.1,0.1,1,0.0031371116638183594,0.000431060791015625,0.109375,0.03125,1.1788571622781439e-05,2.0191494398376307e-05
synthetic_normal,normal,100,100,0.1,0.1,2,0.003036975860595703,0.0003509521484375,0.0,0.03125,1.0018398649363962e-05,1.7122932535300515e-05
synthetic_normal,normal,100,100,0.3,0.3,0,0.0032041072845458984,0.0003631114959716797,0.015625,0.03125,3.993756256458963e-06,6.6520665320559215e-06
synthetic_normal,normal,100,100,0.3,0.3,1,0.003161191940307617,0.0004379749298095703,0.046875,0.046875,5.398825692494302e-06,8.387282254707382e-06
synthetic_normal,normal,100,100,0.3,0.3,2,0.0031900405883789062,0.0004010200500488281,0.03125,0.03125,3.2029074318382084e-06,5.832663607576787e-06
synthetic_normal,normal,100,100,0.5,0.5,0,0.0032613277435302734,0.0004210472106933594,0.0,0.015625,2.6365928048725524e-06,4.493265571408498e-06
synthetic_normal,normal,100,100,0.5,0.5,1,0.0032498836517333984,0.00046515464782714844,0.078125,0.0,2.709442176381738e-06,4.702060609936441e-06
synthetic_normal,normal,100,100,0.5,0.5,2,0.003340005874633789,0.0004172325134277344,0.03125,0.0,2.1437990193197427e-06,3.6671468979201202e-06
synthetic_normal,normal,100,100,r0.1,2.405100364949862,0,0.004613161087036133,0.00045013427734375,1.078125,0.0,2.483541849876352e-06,4.26548037688887e-06
synthetic_normal,normal,100,100,r0.1,2.541493608287516,1,0.006030082702636719,0.0005540847778320312,1.046875,0.0,2.4555023175824566e-06,4.237273114507667e-06
synthetic_normal,normal,100,100,r0.1,2.2254055135430897,2,0.0045278072357177734,0.0004420280456542969,1.0,0.015625,3.475468626343151e-06,5.943641849670599e-06
synthetic_normal,normal,100,100,r0.3,7.215301094849585,0,0.17494487762451172,0.000576019287109375,11.515625,0.0,8.955959441137593e-06,2.022610163793155e-05
