dataset,window_size,overlap_ratio,metric_name,macro_f1,balanced_accuracy,accuracy,n_windows,n_classes,computation_time
opportunity,64,0.5,Jaccard,0.38152472527472525,0.42651098901098905,0.47058823529411764,51,4,67.68601489067078
opportunity,64,0.5,Dice,0.5513392857142857,0.5561469780219781,0.5882352941176471,51,4,67.68601489067078
opportunity,64,0.5,OverlapCoefficient,0.2858187134502924,0.3425480769230769,0.39215686274509803,51,4,67.68601489067078
opportunity,64,0.5,Cosine,0.46072382042061677,0.4800824175824176,0.5294117647058824,51,4,67.68601489067078
opportunity,64,0.5,Pearson,0.46072382042061677,0.4800824175824176,0.5294117647058824,51,4,67.68601489067078
